x,split,baseline_residual,corrected_residual
2.087609511889862,train,-0.1753709928299778,-0.11776756711695935
2.1176470588235294,train,-0.003702040763047698,0.10802027781041534
2.132665832290363,train,-0.20437002193210763,-0.06503117954025095
2.1476846057571963,train,-0.1781080925951546,-0.010834913554674586
2.1777221526908637,train,-0.3095168119608114,-0.08559259592254342
2.192740926157697,train,-0.057538994142625643,0.19501241758054766
2.2077596996245306,train,-0.43588886033793495,-0.15457123125097683
2.237797246558198,train,-0.4369450434197426,-0.09787194981051028
2.252816020025031,train,-0.40036801201316763,-0.032405475389885474
2.267834793491865,train,-0.6254669700568427,-0.22867531030323462
2.2978723404255317,train,-0.525285095341939,-0.07122508276552919
2.3128911138923653,train,-0.38132768861766664,0.10106569907246321
2.327909887359199,train,-0.6280439846552506,-0.11758895042358741
2.357947434292866,train,-0.3725837527749709,0.19296484985182705
2.3729662077596996,train,-0.5832282700376008,0.00924513483863576
2.3879849812265332,train,-0.6544713456172349,-0.03555878967055426
2.4180225281602,train,-0.5749846519529824,0.09513909668783604
2.433041301627034,train,-0.7703780490709393,-0.07558560187433505
2.4480600750938675,train,-0.5562413652224669,0.1625277567732355
2.4780976220275344,train,-0.79459334273702,-0.03014263140135176
2.493116395494368,train,-0.9110372313761927,-0.12497617939338568
2.5081351689612013,train,-0.6229131824109091,0.18387732983197402
2.5381727158948686,train,-0.9997568311027956,-0.1543217011409368
2.5531914893617023,train,-1.1169043385207504,-0.2536352200492078
2.5682102628285355,train,-1.022141527855522,-0.1420813885265617
2.598247809762203,train,-0.8603333778594875,0.05004070922677073
2.613266583229036,train,-0.9333044243900859,-0.009471183796700089
2.6282853566958697,train,-0.8946444687296906,0.0414776054878816
2.658322903629537,train,-1.077113643891077,-0.1200247810185826
2.6733416770963703,train,-0.9236745184681237,0.04204901961157326
2.688360450563204,train,-0.9242705341563058,0.04883092623125229
2.718397997496871,train,-1.1708786738151737,-0.18684753209740879
2.7334167709637045,train,-1.288729649938796,-0.30116751849937295
2.748435544430538,train,-1.2803984466424612,-0.2906035655584973
2.778473091364205,train,-0.909607273024716,0.08074890061116502
2.7934918648310387,train,-0.9532153090936797,0.03547196866519142
2.8085106382978724,train,-0.7289085289095865,0.25681670932115486
2.8385481852315393,train,-0.8644236347221641,0.11153496810944263
2.853566958698373,train,-1.1855896563387782,-0.2164101700313612
2.8685857321652066,train,-0.8480416963699056,0.11311638796468948
2.8986232790988735,train,-0.7783579923726434,0.1631111922671975
2.913642052565707,train,-0.9706489818129862,-0.04080049546677511
2.9286608260325404,train,-1.406284291865235,-0.4892053575707713
2.9586983729662077,train,-0.800271465056293,0.0879417588190563
2.9737171464330414,train,-1.2294162675024412,-0.35723374206283554
2.9887359198998746,train,-1.08872864810709,-0.23359497682833075
3.018773466833542,train,-0.7784812906304666,0.03965278946443185
3.033792240300375,train,-0.5490201347226944,0.24924379861981016
3.048811013767209,train,-0.6056298971628244,0.17190665297976127
3.078848560700876,train,-1.0843215602359098,-0.3506342543157599
3.0938673341677094,train,-0.8111856665904522,-0.10052865965699675
3.108886107634543,train,-0.769413647655901,-0.08246133553762558
3.13892365456821,train,-0.4291429542447385,0.20856979314600776
3.1539424280350437,train,-0.8461010199810381,-0.2338251214413818
3.1689612015018773,train,-0.4871894256305622,0.09917098264014967
3.198998748435544,train,-0.7170553408231757,-0.18376222636073836
3.214017521902378,train,-0.68044052851068,-0.174199319213022
3.2290362953692116,train,-0.39164634599926496,0.0872638387697604
3.2590738423028784,train,-0.5360945860892379,-0.11248653638925754
3.274092615769712,train,-0.43921334403307366,-0.04347900500683943
3.289111389236546,train,-0.6659101062105157,-0.2981340437820901
3.3191489361702127,train,-0.4846894906521282,-0.1728969263024731
